2264;ius
1903;lex
1701;rex
1505;deus
1493;orbis
1265;fides
1195;debeo
1186;refero
1110;scribo
1106;homo
967;ratio
957;bellum
948;imperium
948;infidelis
935;bonus
882;trado
872;sententia
871;princeps
867;magnus
848;regnum
847;terra
810;ecclesia
802;ago
773;romanus
769;dominus
768;mare
763;nomen
754;potestas
751;gens
744;prouincia
736;indo
694;tempus
689;christus
655;liber
648;uerus
644;causa
643;auctor
642;appello
614;uolo
611;accipio
600;imperator
598;annus
598;soleo
581;doceo
566;pontifex
564;filius
552;superus
540;indorum
539;probo
516;casus
473;antiquus
463;iurisdictio
443;mundus
443;ostendo
441;natura
438;reperio
435;seruus
434;regio
433;mos
430;sequor
426;concedo
421;populus
417;insula
410;iustus
410;loquor
409;natural
405;hispaniae
403;consto
399;praedico2
397;urbs
395;iudex
390;religio
388;constituo
385;publicus
385;similis
380;puto
377;regius
377;uita
376;duo
376;humanus
374;indus
365;opinio
363;exemplum
358;argumentum
357;dominium
356;capio
355;pertineo
353;pater
343;longus
343;uoco
339;teneo
335;significo
331;adduco
331;quaero
328;efficio
327;uir
326;auctoritas
325;iudicium
324;opus
322;consilium
